status	subject	predicate	object
TP	A_Call_to_Arms	involvesFightWith	Putus_Templar
TP	A_Call_to_Arms	isGivenBy	Otho
TP	A_Call_to_Arms	requiresCompleting	The_Earl_of_Omonporch
TP	A_Call_to_Arms	takesPlaceIn	Grit_Gate
TP	A_Canticle_for_Barathrum	involvesFinding	Otho
TP	A_Canticle_for_Barathrum	isGivenBy	Argyve
TP	A_Canticle_for_Barathrum	requiresCompleting	Weirdwire_Conduit_Eureka!
TP	A_Canticle_for_Barathrum	takesPlaceIn	Grit_Gate
TP	Argyve	giveQuest	Weirdwire_Conduit_Eureka!
TP	Argyve	likedBy	Barathrumites
TP	Argyve	memberOf	Barathrumites
TP	Asphodel_Earl_of_Omonporch	hasRace	Sentient_Plant
TP	Asphodel_Earl_of_Omonporch	isHabitantOf	Omonporch
TP	Barathrum_the_Old	giveQuest	Reclamation
TP	Barathrum_the_Old	giveQuest	We_Are_Starfreight
TP	Barathrum_the_Old	hasRace	Urshiib
TP	Barathrum_the_Old	isHabitantOf	Grit_Gate
TP	Barathrum_the_Old	memberOf	Barathrumites
TP	Barathrumites	hasMember	Golem
TP	Barathrumites	hates	Mechanimists
TP	Barathrumites	likes	Argyve
TP	Barathrumites	likes	Kun
TP	Barathrumites	likes	Otho
TP	Decoding_the_Signal	involvesFinding	Baetyl
TP	Decoding_the_Signal	requiresCompleting	More_Than_a_Willing_Spirit
TP	Decoding_the_Signal	takesPlaceIn	Temple_of_the_Rock
TP	Girsh	hates	Mechanimists
TP	Joppa	hasInhabitant	Argyve
TP	Kun	dislikedBy	Girsh
TP	Kun	dislikedBy	Putus_Templar
TP	Kun	likedBy	Barathrumites
TP	Mechanimists	foughtIn	Decoding_the_Signal
TP	More_Than_a_Willing_Spirit	involvesFinding	Scrapped_Waydroid
TP	More_Than_a_Willing_Spirit	rewardsWith	Sparafucile_s_Carbine
TP	Otho	giveQuest	A_Call_to_Arms
TP	Otho	giveQuest	Decoding_the_Signal
TP	Otho	giveQuest	More_Than_a_Willing_Spirit
TP	Otho	giveQuest	The_Earl_of_Omonporch
TP	Otho	hasRace	Urshiib
