status	subject	predicate	object
TP	A_Call_to_Arms	isGivenBy	Otho
TP	A_Call_to_Arms	requiresCompleting	The_Earl_of_Omonporch
TP	A_Call_to_Arms	takesPlaceIn	Grit_Gate
TP	A_Canticle_for_Barathrum	involvesFinding	Otho
TP	A_Canticle_for_Barathrum	isGivenBy	Argyve
TP	A_Canticle_for_Barathrum	requiresCompleting	Weirdwire_Conduit_Eureka!
TP	A_Canticle_for_Barathrum	takesPlaceIn	Grit_Gate
TP	Argyve	giveQuest	Weirdwire_Conduit_Eureka!
TP	Argyve	likedBy	Barathrumites
TP	Argyve	memberOf	Barathrumites
TP	Asphodel_Earl_of_Omonporch	hasRace	Sentient_Plant
TP	Asphodel_Earl_of_Omonporch	isHabitantOf	Omonporch
TP	Barathrum_the_Old	giveQuest	Reclamation
TP	Barathrum_the_Old	giveQuest	We_Are_Starfreight
TP	Barathrum_the_Old	hasRace	Urshiib
TP	Barathrum_the_Old	isHabitantOf	Grit_Gate
TP	Barathrum_the_Old	memberOf	Barathrumites
TP	Barathrumites	hasMember	Golem
TP	Barathrumites	hates	Mechanimists
TP	Decoding_the_Signal	requiresCompleting	More_Than_a_Willing_Spirit
TP	Decoding_the_Signal	takesPlaceIn	Temple_of_the_Rock
TP	Girsh	hates	Mechanimists
TP	Joppa	hasInhabitant	Argyve
TP	Kun	dislikedBy	Putus_Templar
TP	Kun	likedBy	Barathrumites
TP	Mechanimists	foughtIn	Decoding_the_Signal
TP	More_Than_a_Willing_Spirit	involvesFinding	Scrapped_Waydroid
TP	Otho	giveQuest	A_Call_to_Arms
TP	Otho	giveQuest	Decoding_the_Signal
TP	Otho	giveQuest	More_Than_a_Willing_Spirit
TP	Otho	giveQuest	The_Earl_of_Omonporch
TP	Otho	hasRace	Urshiib
TP	Otho	isHabitantOf	Grit_Gate
TP	Otho	memberOf	Barathrumites
TP	Pax_Qlanq	hasRace	Fungi
TP	Pax_Qlanq	isHabitantOf	Rainbow_Wood
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRace	Mutated_Human
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	hasRole	Fighter_Boss
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	isHabitantOf	Temple_of_the_Rock
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	likedBy	Mechanimists
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	memberOf	Mechanimists
TP	Putus_Templar	dislikes	Kun
TP	Reclamation	involvesFightWith	Girsh
