encoder,epoch,train_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_INVALID_precision,val_INVALID_recall,val_INVALID_f1,val_INVALID_support,val_VALID_precision,val_VALID_recall,val_VALID_f1,val_VALID_support,is_best
google/bigbird-roberta-base,1,0.688604,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,True
google/bigbird-roberta-base,2,0.686442,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
google/bigbird-roberta-base,3,0.688487,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
google/bigbird-roberta-base,4,0.685458,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
distilbert-base-uncased,1,0.696144,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,True
distilbert-base-uncased,2,0.686111,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
distilbert-base-uncased,3,0.683928,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
distilbert-base-uncased,4,0.681379,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
xlnet-base-cased,1,0.716455,0.458824,0.467805,0.467143,0.458149,0.552632,0.42,0.477273,50,0.382979,0.514286,0.439024,35,True
xlnet-base-cased,2,0.702926,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
xlnet-base-cased,3,0.692795,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
xlnet-base-cased,4,0.690053,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
roberta-base,1,0.683904,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,True
roberta-base,2,0.687965,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
roberta-base,3,0.687884,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
roberta-base,4,0.683894,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
t5-base,1,0.714589,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,True
t5-base,2,0.69839,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
t5-base,3,0.693395,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
t5-base,4,0.691459,0.588235,0.294118,0.5,0.37037,0.588235,1.0,0.740741,50,0.0,0.0,0.0,35,False
spacy-textcat,1,2.473368,0.5882,0.2941,0.5,0.3704,0.5882,1.0,0.7407,50,0.0,0.0,0.0,35,True
spacy-textcat,2,2.472682,0.5882,0.2941,0.5,0.3704,0.5882,1.0,0.7407,50,0.0,0.0,0.0,35,False
spacy-textcat,3,2.378089,0.5882,0.5463,0.5085,0.4177,0.5926,0.96,0.7328,50,0.5,0.0571,0.1026,35,True
spacy-textcat,4,2.376811,0.6,0.7976,0.5143,0.4009,0.5952,1.0,0.7463,50,1.0,0.0286,0.0556,35,False
spacy-textcat,5,2.447082,0.5882,0.5452,0.5043,0.3955,0.5904,0.98,0.7368,50,0.5,0.0286,0.0541,35,False
spacy-textcat,6,2.366797,0.6235,0.6648,0.5514,0.494,0.6154,0.96,0.75,50,0.7143,0.1429,0.2381,35,True
spacy-textcat,7,2.376454,0.5647,0.5101,0.5057,0.4696,0.5915,0.84,0.6942,50,0.4286,0.1714,0.2449,35,False
spacy-textcat,8,2.312483,0.5647,0.5158,0.51,0.4818,0.5942,0.82,0.6891,50,0.4375,0.2,0.2745,35,False
